COMPOUND_ID	SOURCES	SYNONYMS	MW_FREEBASE	ALOGP	HBA	HBD	PSA	RTB	RO3_PASS	NUM_RO5_VIOLATIONS	MED_CHEM_FRIENDLY	PCT_IHB_3D7	PCT_INHB_DD2	PCT_INHIB_3D7_PFLDH	pXC50_3D7	PCT_INHIB_HEPG2	IFI	SMILES
538581	TCMDC-133691, 638581 (CHEMBL)		427.60272	4.238	3	1	90.54	8	N	0	Y	96	92	1	6.17245	0	1.67	CC(C)c1c(nc(s1)c2ccc(cc2)C(C)(C)C)C(=O)NCCCN3CCCC3=O
538585	TCMDC-125161, 638585 (CHEMBL), COMMERCIAL		386.44638	4.278	4	1	65.53	4	N	0	Y	96	20	0	6.063	9	1.39	Cc1ccc(cc1)n2c(=O)c3cccnc3n2CC(=O)Nc4cccc(c4C)C
538696	TCMDC-139625, 638696 (CHEMBL)		563.56044	7.497	2	2	51.37	9	N	2	Y	91	21	3	5.9239	50	10.71	CN(CCC(CCN1CCC(CC1)c2c[nH]c3c2cccc3)c4ccccc4)C(=O)Nc5ccc(c(c5)Cl)Cl
538697	TCMDC-132581, 638697 (CHEMBL)		516.0554	3.218	6	2	102.49	7	N	1	N	95	74	2	6.08227	0	2.13	CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2cc(ccc2Cn3ccc(nc3=O)N4CCNCC4)Cl.C(=O)(C(F)(F)F)O
538699	TCMDC-132050, 638699 (CHEMBL)		442.63398	5.644	5	2	51.75	17	N	1	Y	98	0	8	6.05982	16	3.73	CCc1c(ccc(c1OC)OC)CCNCCCCCCNCCc2ccc(cc2)OC.Cl
538735	TCMDC-137572, 638735 (CHEMBL)		376.53768	4.649	4	1	31.4	8	N	0	Y	100	70	0	6.29045	26	5.63	CCCCN1CCN(CC1)CCCNc2c3ccccc3nc4c2cccc4.Cl
538185	TCMDC-125261, 638185 (CHEMBL), COMMERCIAL		429.46451	4.821	5	1	73.86	5	N	0	Y	86	32	2	5.78808	96	3.64	Cc1cc(c(cc1NC(=O)c2cccc3c2oc(c(c3=O)C)c4ccccc4)OC)OC
524830	TCMDC-131311, 624830 (CHEMBL)		244.24928	.317	3	3	100.87	3	N	0	Y	99	0	4	6.60342	10	0	CC(=O)Nc1c(nc([nH]1)c2ccccc2)C(=O)N
541439	TCMDC-134858, 641439 (CHEMBL)		451.56276	4.812	5	3	78.94	9	N	0	Y	100	91	1	6.0692	16	12.82	Cc1ccc(cc1)CNC(=O)[C@H](Cc2ccccc2)Nc3cc(nc(n3)Nc4ccccc4)C.C(=O)(C(F)(F)F)O
538310	TCMDC-136939, 638310 (CHEMBL)		399.46828	4.169	3	3	114.69	5	N	0	Y	90	34	1	5.97648	44	2.8	c1ccc2c(c1)[nH]c(n2)c3ccc(s3)c4ccc(cc4)NC(=O)Cc5c[nH]cn5
538395	TCMDC-140157, 638395 (CHEMBL)		390.23506	5.432	2	2	49.33	4	N	1	Y	99	99	1	6.25229	0	2.19	c1cc(cc(c1)F)CNC(=O)c2ccc(c(c2)c3cc(cc(c3)Cl)Cl)O
507894	TCMDC-123498, 607894 (CHEMBL), COMMERCIAL		384.51661	5.119	4	2	40.19	8	N	1	Y	100	99	0	6.70631	36	4.41	CCN(CC)CCNc1ccc(cc1)Nc2ccnc3c2cc4ccccc4c3
539245	TCMDC-141436, 639245 (CHEMBL)		463.95924	4.716	6	2	87.16	6	N	0	Y	97	56	0	6.13241	43	4.58	COc1ccc2c(n1)c(ccn2)[C@H](CN3CCC(CC3)c4cc([nH]n4)c5ccc(cc5)Cl)O
542148	TCMDC-133842, 642148 (CHEMBL)		533.63036	5.873	4	1	38.4	6	N	2	Y	100	91	4	6.85392	100	9.72	CN1CCC(CC1)N2CCN(CC2)Cc3cccc(c3)c4ccc(cc4)c5[nH]c6ccc(cc6n5)C(F)(F)F.C(=O)(C(F)(F)F)O
